Gender,Age,Waist,TotalHeight,source
2.0,11.0,25.0,51.0,Mendeley
1.0,4.0,22.0,39.0,Mendeley
2.0,11.0,22.0,39.0,Mendeley
2.0,13.0,21.0,53.0,Mendeley
2.0,15.0,11.0,52.0,Mendeley
2.0,13.0,27.0,49.0,Mendeley
2.0,11.0,25.0,44.0,Mendeley
2.0,9.0,20.0,45.0,Mendeley
2.0,8.0,21.0,44.0,Mendeley
2.0,9.0,13.0,46.0,Mendeley
2.0,9.0,12.0,48.0,Mendeley
2.0,8.0,12.0,45.0,Mendeley
1.0,4.0,11.0,38.0,Mendeley
1.0,4.0,10.0,38.0,Mendeley
1.0,4.0,10.0,37.0,Mendeley
2.0,3.0,10.0,36.0,Mendeley
2.0,3.0,9.0,38.0,Mendeley
2.0,3.0,9.0,38.0,Mendeley
2.0,3.0,10.0,39.0,Mendeley
1.0,3.0,9.0,36.0,Mendeley
2.0,4.0,10.0,38.0,Mendeley
2.0,4.0,9.0,37.0,Mendeley
2.0,13.0,13.0,54.0,Mendeley
2.0,14.0,12.0,53.0,Mendeley
2.0,16.0,12.0,54.0,Mendeley
2.0,15.0,13.0,54.0,Mendeley
1.0,17.0,14.0,55.0,Mendeley
2.0,10.0,10.0,44.0,Mendeley
2.0,15.0,13.0,53.0,Mendeley
2.0,17.0,13.0,53.0,Mendeley
2.0,16.0,13.0,52.0,Mendeley
2.0,18.0,15.0,58.0,Mendeley
2.0,19.0,16.0,58.0,Mendeley
1.0,6.0,9.0,44.0,Mendeley
1.0,6.0,9.0,44.0,Mendeley
1.0,7.0,10.0,44.0,Mendeley
1.0,5.0,20.0,39.0,Mendeley
1.0,7.0,23.0,48.0,Mendeley
1.0,6.0,22.0,43.0,Mendeley
2.0,6.0,11.0,40.0,Mendeley
1.0,6.0,11.0,43.0,Mendeley
2.0,8.0,13.0,44.0,Mendeley
2.0,6.0,11.0,41.0,Mendeley
2.0,6.0,12.0,44.0,Mendeley
2.0,7.0,13.0,48.0,Mendeley
2.0,6.0,13.0,48.0,Mendeley
2.0,7.0,13.0,48.0,Mendeley
2.0,6.0,11.0,40.0,Mendeley
1.0,7.0,12.0,45.0,Mendeley
2.0,6.0,12.0,38.0,Mendeley
2.0,7.0,13.0,43.0,Mendeley
2.0,7.0,12.0,45.0,Mendeley
1.0,7.0,12.0,45.0,Mendeley
1.0,6.0,13.0,39.0,Mendeley
2.0,5.0,12.0,39.0,Mendeley
2.0,5.0,13.0,40.0,Mendeley
1.0,5.0,11.0,39.0,Mendeley
1.0,6.0,12.0,41.0,Mendeley
1.0,7.0,13.0,47.0,Mendeley
1.0,11.0,13.0,50.0,Mendeley
1.0,5.0,11.0,38.0,Mendeley
1.0,4.0,13.0,38.0,Mendeley
1.0,5.0,11.0,41.0,Mendeley
2.0,6.0,11.0,40.0,Mendeley
2.0,7.0,13.0,44.0,Mendeley
2.0,8.0,11.0,49.0,Mendeley
